Conc_10uM,,Conc_20uM,,Conc_40uM,,Conc_80uM,,Conc_160uM,,Conc_320uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800.0369873,0.001427002018,800.0369873,0.0001754905388,800.0369873,-0.002073375508,800.0369873,-0.001132327947,800.0369873,-0.0006080497405,800.0369873,-0.001188402297
799.0648804,0.0005631777458,799.0648804,-4.234737935E-05,799.0648804,-0.000810457801,799.0648804,-0.001917483285,799.0648804,-0.001705792616,799.0648804,-0.001108625904
797.9534302,0.0003171930439,797.9534302,-0.001997162821,797.9534302,-0.002055547433,797.9534302,-0.001385069801,797.9534302,-5.63759786E-05,797.9534302,-0.0006855920656
796.9805298,0.0008953083307,796.9805298,-0.001079654903,796.9805298,-0.0006980492035,796.9805298,-0.001527017681,796.9805298,-0.0004721104342,796.9805298,-0.00211443915
796.0072632,0.0004682188446,796.0072632,0.0007122148527,796.0072632,-0.002016745508,796.0072632,-0.001398539054,796.0072632,-3.644591561E-05,796.0072632,-0.001461286796
795.0336304,0.0006995100994,795.0336304,-0.002378607402,795.0336304,-0.001338259666,795.0336304,-0.001317304443,795.0336304,-0.001513707219,795.0336304,-0.002010973869
794.0596313,-0.0002270641126,794.0596313,-0.001357923611,794.0596313,-0.002592801116,794.0596313,-0.002758894349,794.0596313,-0.0007529392606,794.0596313,-0.001645297976
792.9459839,-0.001208382775,792.9459839,-0.003004316241,792.9459839,-0.001208124682,792.9459839,-0.003897042712,792.9459839,-0.00231789751,792.9459839,-0.0023795343
791.9711304,0.0007905517705,791.9711304,-0.001384914969,791.9711304,-0.001471554628,791.9711304,-0.002563774586,791.9711304,-0.002209638711,791.9711304,-0.002403321443
790.9959717,-0.0005682909978,790.9959717,-0.00188624661,790.9959717,-0.001780973631,790.9959717,-0.002064513043,790.9959717,-0.001796389814,790.9959717,-0.002817022149
790.0203857,-0.0006642951048,790.0203857,-0.001408705255,790.0203857,-0.002189498162,790.0203857,-0.0003075716668,790.0203857,-0.002994752955,790.0203857,-0.002332779579
789.0444336,0.0001426292147,789.0444336,-0.00202566036,789.0444336,-0.001312039676,789.0444336,-0.002699780976,789.0444336,-0.001800153637,789.0444336,-0.00255409861
788.0681152,0.0005321531207,788.0681152,-0.001882328885,788.0681152,-0.00265650847,788.0681152,-0.003667166689,788.0681152,-0.002615804784,788.0681152,-0.004566064104
786.9518433,0.0002079140831,786.9518433,-0.002075178782,786.9518433,-0.0021818229,786.9518433,-0.002725711558,786.9518433,-0.003655256471,786.9518433,-0.003347940976
785.9747314,-0.0005951763596,785.9747314,-0.002896073973,785.9747314,-0.002527437173,785.9747314,-0.002309452044,785.9747314,-0.00216770824,785.9747314,-0.004436483141
784.9972534,-0.001818559365,784.9972534,-0.002488625934,784.9972534,-0.003346656682,784.9972534,-0.003380562644,784.9972534,-0.002841968555,784.9972534,-0.003265426029
784.0194092,-0.001910885563,784.0194092,-0.00227510184,784.0194092,-0.002598719206,784.0194092,-0.001643595984,784.0194092,-0.003452937584,784.0194092,-0.003691961756
783.0411987,-0.001270641806,783.0411987,-0.002672511153,783.0411987,-0.003372137668,783.0411987,-0.0034222221,783.0411987,-0.003794308985,783.0411987,-0.002324025612
782.062561,-0.0006447031046,782.062561,-0.003078090493,782.062561,-0.002186870901,782.062561,-0.002933357609,782.062561,-0.003411435056,782.062561,-0.003400493879
780.9437256,-0.001551161287,780.9437256,-0.003836390562,780.9437256,-0.002654192969,780.9437256,-0.004408194218,780.9437256,-0.0030808663,780.9437256,-0.004096744582
779.9643555,-0.002080640523,779.9643555,-0.003469064832,779.9643555,-0.002836207859,779.9643555,-0.003525403328,779.9643555,-0.003574134782,779.9643555,-0.003516981145
778.9845581,-0.002845105948,778.9845581,-0.003057630267,778.9845581,-0.00407217769,778.9845581,-0.002531863749,778.9845581,-0.003202270251,778.9845581,-0.004665235057
778.0044556,-0.002307443647,778.0044556,-0.002840219764,778.0044556,-0.003256998956,778.0044556,-0.003552979091,778.0044556,-0.00333746057,778.0044556,-0.003382309107
777.0239868,-0.001721417764,777.0239868,-0.003215477802,777.0239868,-0.00387574872,777.0239868,-0.004479988478,777.0239868,-0.003657823429,777.0239868,-0.003954197746
776.0430908,-0.002873342251,776.0430908,-0.003736260347,776.0430908,-0.003890064545,776.0430908,-0.0044233636,776.0430908,-0.005437030457,776.0430908,-0.003122760216
775.0618896,-0.001361794421,775.0618896,-0.00266906363,775.0618896,-0.003942808136,775.0618896,-0.003866563784,775.0618896,-0.004484958481,775.0618896,-0.003937164787
773.9400635,-0.002498921007,773.9400635,-0.004139668774,773.9400635,-0.003417445114,773.9400635,-0.004315782338,773.9400635,-0.003568024375,773.9400635,-0.003228839021
772.9580078,-0.002909187926,772.9580078,-0.003155244514,772.9580078,-0.004389436916,772.9580078,-0.004555612803,772.9580078,-0.005062255077,772.9580078,-0.004401378334
771.975647,-0.003417547792,771.975647,-0.003789330833,771.975647,-0.005301162601,771.975647,-0.004205456935,771.975647,-0.004804732278,771.975647,-0.004399174359
770.9929199,-0.001384192496,770.9929199,-0.004374471027,770.9929199,-0.003999751993,770.9929199,-0.004705747124,770.9929199,-0.004706669133,770.9929199,-0.004862843081
770.0098267,-0.002115727169,770.0098267,-0.003919412848,770.0098267,-0.004639061168,770.0098267,-0.004821833689,770.0098267,-0.004513191059,770.0098267,-0.005785531364
769.0263672,-0.00313129276,769.0263672,-0.003844190622,769.0263672,-0.003982208204,769.0263672,-0.005543976557,769.0263672,-0.004748969804,769.0263672,-0.004773088265
768.0425415,-0.002685785992,768.0425415,-0.004833148792,768.0425415,-0.003976616543,768.0425415,-0.004786760081,768.0425415,-0.005161670968,768.0425415,-0.005745170638
767.0583496,-0.002633403987,767.0583496,-0.003795335302,767.0583496,-0.00442520855,767.0583496,-0.004615908489,767.0583496,-0.005068651401,767.0583496,-0.00445477711
765.9331055,-0.002812495688,765.9331055,-0.004382415209,765.9331055,-0.004506837577,765.9331055,-0.005445313174,765.9331055,-0.005139620043,765.9331055,-0.00439533079
764.9481201,-0.003328778083,764.9481201,-0.004058073275,764.9481201,-0.005091063678,764.9481201,-0.005172311794,764.9481201,-0.005169140175,764.9481201,-0.005495516583
763.9628296,-0.002860484412,763.9628296,-0.004089512862,763.9628296,-0.004483165219,763.9628296,-0.005035388749,763.9628296,-0.004154129419,763.9628296,-0.004741032142
762.9771118,-0.003787893802,762.9771118,-0.005155224353,762.9771118,-0.004929853138,762.9771118,-0.006244610064,762.9771118,-0.005421078298,762.9771118,-0.005769744981
761.9910889,-0.003773471806,761.9910889,-0.005303668324,761.9910889,-0.005456100684,761.9910889,-0.005932176486,761.9910889,-0.005391370971,761.9910889,-0.00570986513
761.0046387,-0.003661468392,761.0046387,-0.005233749747,761.0046387,-0.005327500869,761.0046387,-0.005617627408,761.0046387,-0.005091984756,761.0046387,-0.006333806086
760.0178833,-0.003662597854,760.0178833,-0.005930184852,760.0178833,-0.00611654995,760.0178833,-0.005756921601,760.0178833,-0.006272779312,760.0178833,-0.005905210972
759.0307617,-0.003997341264,759.0307617,-0.006274004001,759.0307617,-0.005807242356,759.0307617,-0.00561348768,759.0307617,-0.006028738339,759.0307617,-0.006823650561
758.0432739,-0.004778669681,758.0432739,-0.005698572844,758.0432739,-0.005722741131,758.0432739,-0.006505615544,758.0432739,-0.006750714034,758.0432739,-0.006451040041
757.055481,-0.00469386531,757.055481,-0.006111904513,757.055481,-0.007025322877,757.055481,-0.006179742515,757.055481,-0.006286404096,757.055481,-0.006298446562
756.0672607,-0.004523182288,756.0672607,-0.007001277991,756.0672607,-0.006300487556,756.0672607,-0.00665084552,756.0672607,-0.006977333687,756.0672607,-0.007678152528
754.937439,-0.005061743315,754.937439,-0.005668782163,754.937439,-0.006901874673,754.937439,-0.006469912827,754.937439,-0.006870994344,754.937439,-0.006941210944
753.9484863,-0.005110609811,753.9484863,-0.006131506525,753.9484863,-0.007424060255,753.9484863,-0.006781959441,753.9484863,-0.006692651194,753.9484863,-0.00748950569
752.9591675,-0.0053468314,752.9591675,-0.007173128892,752.9591675,-0.007254599594,752.9591675,-0.006234964821,752.9591675,-0.007941907272,752.9591675,-0.007272470277
751.9694824,-0.006347275805,751.9694824,-0.007653889712,751.9694824,-0.007349187974,751.9694824,-0.008051999845,751.9694824,-0.00782233011,751.9694824,-0.007096176036
750.9794312,-0.005294002127,750.9794312,-0.006820439827,750.9794312,-0.007666199468,750.9794312,-0.008593616076,750.9794312,-0.007860922255,750.9794312,-0.008778841235
749.9890747,-0.005612465553,749.9890747,-0.007597219665,749.9890747,-0.008024148643,749.9890747,-0.007792481221,749.9890747,-0.007740559056,749.9890747,-0.008148955181
748.9983521,-0.006634886842,748.9983521,-0.00786036253,748.9983521,-0.007775090169,748.9983521,-0.008805578575,748.9983521,-0.008400491439,748.9983521,-0.00838322565
748.0072632,-0.006073054858,748.0072632,-0.007597016171,748.0072632,-0.007716248743,748.0072632,-0.008382362314,748.0072632,-0.007870480418,748.0072632,-0.008788887411
747.0158081,-0.006113282871,747.0158081,-0.007657348644,747.0158081,-0.008416334167,747.0158081,-0.008748196065,747.0158081,-0.007727641147,747.0158081,-0.009619432501
746.0239868,-0.00692740269,746.0239868,-0.008576053195,746.0239868,-0.009594365954,746.0239868,-0.009102466516,746.0239868,-0.009085634723,746.0239868,-0.009566208348
745.0318604,-0.006810297724,745.0318604,-0.009072351269,745.0318604,-0.008924175985,745.0318604,-0.008856968023,745.0318604,-0.009880442172,745.0318604,-0.01013401244
744.0393677,-0.008114860393,744.0393677,-0.00974408444,744.0393677,-0.009702672251,744.0393677,-0.01003724616,744.0393677,-0.01007989049,744.0393677,-0.01044763345
743.0465088,-0.007708263583,743.0465088,-0.008733582683,743.0465088,-0.009522045031,743.0465088,-0.009750057943,743.0465088,-0.01061883382,743.0465088,-0.01062105689
742.0532837,-0.007986588404,742.0532837,-0.008930109441,742.0532837,-0.01005490124,742.0532837,-0.009113569744,742.0532837,-0.01049827319,742.0532837,-0.01022625621
741.0597534,-0.007874547504,741.0597534,-0.009964341298,741.0597534,-0.01052859332,741.0597534,-0.01023849379,741.0597534,-0.01061186194,741.0597534,-0.01055729482
740.0658569,-0.009004862048,740.0658569,-0.00976873748,740.0658569,-0.0105896825,740.0658569,-0.009940660559,740.0658569,-0.01066546235,740.0658569,-0.01079335064
738.9295044,-0.009041067213,738.9295044,-0.01028844994,738.9295044,-0.01040138584,738.9295044,-0.01125130523,738.9295044,-0.01103048958,738.9295044,-0.01163438894
737.9348755,-0.009823404253,737.9348755,-0.011234859,737.9348755,-0.0112049412,737.9348755,-0.01143746916,737.9348755,-0.01111371256,737.9348755,-0.01177695673
736.9398804,-0.009928668849,736.9398804,-0.01069561951,736.9398804,-0.01137241442,736.9398804,-0.01200041547,736.9398804,-0.0114370659,736.9398804,-0.01185635943
735.944519,-0.008722419851,735.944519,-0.01087702252,735.944519,-0.0111704804,735.944519,-0.01136807632,735.944519,-0.01099768002,735.944519,-0.01145763882
734.9488525,-0.008570368402,734.9488525,-0.0102741411,734.9488525,-0.01076006889,734.9488525,-0.01142466068,734.9488525,-0.01108837873,734.9488525,-0.01151900087
733.9528198,-0.008913474157,733.9528198,-0.01066056266,733.9528198,-0.01096698921,733.9528198,-0.01105017401,733.9528198,-0.01115620043,733.9528198,-0.01113172714
732.9564209,-0.007874649018,732.9564209,-0.01028066315,732.9564209,-0.01052844152,732.9564209,-0.01068299171,732.9564209,-0.01087025646,732.9564209,-0.01087717433
731.9596558,-0.009788580239,731.9596558,-0.01066864561,731.9596558,-0.01045390032,731.9596558,-0.01126522943,731.9596558,-0.01053010952,731.9596558,-0.01171139907
730.9625854,-0.009298016317,730.9625854,-0.01138734259,730.9625854,-0.01076996792,730.9625854,-0.01137075014,730.9625854,-0.01168232039,730.9625854,-0.01130876224
729.9651489,-0.01015930064,729.9651489,-0.01125725824,729.9651489,-0.01167526469,729.9651489,-0.01218741573,729.9651489,-0.0120266024,729.9651489,-0.01268563978
728.9674072,-0.01032424439,728.9674072,-0.01248622779,728.9674072,-0.01144069619,728.9674072,-0.01278679445,728.9674072,-0.01212040987,728.9674072,-0.0128468629
727.9692993,-0.01135617401,727.9692993,-0.01291712467,727.9692993,-0.01311613899,727.9692993,-0.0135294497,727.9692993,-0.01292938739,727.9692993,-0.01300958358
726.9708252,-0.01166306809,726.9708252,-0.01235179324,726.9708252,-0.01379634626,726.9708252,-0.01375557017,726.9708252,-0.01340301801,726.9708252,-0.01445415802
725.9720459,-0.01204583887,725.9720459,-0.01429212745,725.9720459,-0.01416115742,725.9720459,-0.01412041485,725.9720459,-0.01451765094,725.9720459,-0.0142711373
724.9729004,-0.01330145448,724.9729004,-0.01451519784,724.9729004,-0.01466868538,724.9729004,-0.01560485922,724.9729004,-0.01479805261,724.9729004,-0.01536925603
723.9733887,-0.01335211378,723.9733887,-0.01476512663,723.9733887,-0.01470797509,723.9733887,-0.01542706974,723.9733887,-0.01553178392,723.9733887,-0.01608007215
722.9735718,-0.01381379925,722.9735718,-0.01562169008,722.9735718,-0.01616288163,722.9735718,-0.01626916416,722.9735718,-0.01579645462,722.9735718,-0.01656827144
721.9733887,-0.01461727917,721.9733887,-0.01590172946,721.9733887,-0.01634690166,721.9733887,-0.01597324386,721.9733887,-0.01631773449,721.9733887,-0.01684775017
720.9729004,-0.01463534962,720.9729004,-0.01614701934,720.9729004,-0.01633767784,720.9729004,-0.0168998912,720.9729004,-0.01653413475,720.9729004,-0.01705223881
719.9720459,-0.01470221952,719.9720459,-0.01592049561,719.9720459,-0.01633423753,719.9720459,-0.01652032882,719.9720459,-0.01655835472,719.9720459,-0.01668466814
718.9708252,-0.0148041565,718.9708252,-0.01628861204,718.9708252,-0.01655999944,718.9708252,-0.01709445007,718.9708252,-0.01610446721,718.9708252,-0.01723752543
717.9692993,-0.01495984383,717.9692993,-0.0164266713,717.9692993,-0.01684406586,717.9692993,-0.01650597528,717.9692993,-0.0165202301,717.9692993,-0.01718592457
716.9674683,-0.01482857391,716.9674683,-0.0155118024,716.9674683,-0.0171062462,716.9674683,-0.0166651886,716.9674683,-0.01650452986,716.9674683,-0.01693678834
715.965271,-0.01441128924,715.965271,-0.01593666524,715.965271,-0.01615724526,715.965271,-0.01671281643,715.965271,-0.01615535095,715.965271,-0.01683390513
714.9627075,-0.01422800031,714.9627075,-0.01550440863,714.9627075,-0.0157263577,714.9627075,-0.01608720608,714.9627075,-0.01594365202,714.9627075,-0.01670987718
713.9598389,-0.01351108216,713.9598389,-0.01504676789,713.9598389,-0.01489261258,713.9598389,-0.01553518046,713.9598389,-0.01575441845,713.9598389,-0.01595672593
712.956604,-0.01319594961,712.956604,-0.01456411369,712.956604,-0.01499190461,712.956604,-0.01521951426,712.956604,-0.01443683077,712.956604,-0.01514482405
711.953064,-0.01069208421,711.953064,-0.01407606062,711.953064,-0.01470677368,711.953064,-0.01437808387,711.953064,-0.01399621088,711.953064,-0.01462153345
710.9491577,-0.01121099573,710.9491577,-0.01244955417,710.9491577,-0.01323416736,710.9491577,-0.01347635128,710.9491577,-0.01310980972,710.9491577,-0.01358073484
709.9449463,-0.01064823661,709.9449463,-0.01173437852,709.9449463,-0.01193826552,709.9449463,-0.01191514637,709.9449463,-0.01197639294,709.9449463,-0.01264209393
708.9403687,-0.00994121749,708.9403687,-0.01028253417,708.9403687,-0.0111075053,708.9403687,-0.01126684342,708.9403687,-0.01158680581,708.9403687,-0.01100378856
707.9354858,-0.008470105007,707.9354858,-0.009097700939,707.9354858,-0.009834589437,707.9354858,-0.01062833145,707.9354858,-0.01030295994,707.9354858,-0.01098864526
706.9302368,-0.00699669309,706.9302368,-0.008394855075,706.9302368,-0.009143378586,706.9302368,-0.009097650647,706.9302368,-0.008974840865,706.9302368,-0.009811914526
706.0683594,-0.005403744988,706.0683594,-0.006578491535,706.0683594,-0.007783988956,706.0683594,-0.008052457124,706.0683594,-0.007118942682,706.0683594,-0.008268798701
705.0625,-0.005049205851,705.0625,-0.005515606608,705.0625,-0.006228738464,705.0625,-0.005961336195,705.0625,-0.006726399064,705.0625,-0.007167425472
704.0563354,-0.003370802151,704.0563354,-0.004700728226,704.0563354,-0.005062408745,704.0563354,-0.004897859413,704.0563354,-0.004530149978,704.0563354,-0.005620591342
703.0498047,-0.002012313576,703.0498047,-0.003518367885,703.0498047,-0.004012063146,703.0498047,-0.004106745124,703.0498047,-0.003679898102,703.0498047,-0.004240423441
702.0429688,-0.0004474413581,702.0429688,-0.001694962964,702.0429688,-0.00164540112,702.0429688,-0.002481831005,702.0429688,-0.001962375594,702.0429688,-0.003149950644
701.0357666,0.0007720359135,701.0357666,-0.0003494752455,701.0357666,-0.001422380097,701.0357666,-0.001681606052,701.0357666,-0.001287418185,701.0357666,-0.001899648691
700.0282593,0.002087431261,700.0282593,0.000655513024,700.0282593,2.143411075E-05,700.0282593,0.0004875510349,700.0282593,7.561949315E-05,700.0282593,-0.0003236093326
699.0204468,0.002764861332,699.0204468,0.001812455244,699.0204468,0.001490246388,699.0204468,0.001509494265,699.0204468,0.001451831195,699.0204468,0.0008097686223
698.0122681,0.004624653608,698.0122681,0.002902877051,698.0122681,0.002713829977,698.0122681,0.002918200335,698.0122681,0.003011480905,698.0122681,0.002440904267
697.0037842,0.005755585618,697.0037842,0.003757585539,697.0037842,0.00356388581,697.0037842,0.004049237818,697.0037842,0.004118823446,697.0037842,0.002840130124
695.9949341,0.007523075677,695.9949341,0.006094285287,695.9949341,0.005783759058,695.9949341,0.005409260746,695.9949341,0.005905471276,695.9949341,0.004033639561
694.9857788,0.00773480814,694.9857788,0.007007178385,694.9857788,0.006651547737,694.9857788,0.006373300217,694.9857788,0.006256446708,694.9857788,0.005560022779
693.9763184,0.00885638874,693.9763184,0.007094131783,693.9763184,0.007163259666,693.9763184,0.007141812239,693.9763184,0.007658950053,693.9763184,0.006928711664
692.9664917,0.009957962669,692.9664917,0.008775237016,692.9664917,0.008140066639,692.9664917,0.007824754342,692.9664917,0.008513549343,692.9664917,0.008252178319
691.9563599,0.01171368547,691.9563599,0.009016730823,691.9563599,0.009091478772,691.9563599,0.008884738199,691.9563599,0.009640904143,691.9563599,0.008140699938
690.9458618,0.0121712843,690.9458618,0.01074781548,690.9458618,0.01032129582,690.9458618,0.00990253035,690.9458618,0.009817395359,690.9458618,0.009971815161
689.9350586,0.01250386331,689.9350586,0.0111531876,689.9350586,0.0112653086,689.9350586,0.01049546525,689.9350586,0.01081190072,689.9350586,0.009707526304
689.0684204,0.0130125992,689.0684204,0.01210987289,689.0684204,0.01154141966,689.0684204,0.01078366488,689.0684204,0.01130085625,689.0684204,0.01036840398
688.0570068,0.01625204273,688.0570068,0.01301177219,688.0570068,0.01296080276,688.0570068,0.01258422341,688.0570068,0.01281875372,688.0570068,0.01344249211
687.0452881,0.01436945423,687.0452881,0.0129150385,687.0452881,0.01233160309,687.0452881,0.01263184473,687.0452881,0.0126212379,687.0452881,0.01299256738
686.0332642,0.01449613925,686.0332642,0.01374358218,686.0332642,0.01292965282,686.0332642,0.01323254965,686.0332642,0.01305471826,686.0332642,0.01173910964
685.020874,0.01655086502,685.020874,0.01359513495,685.020874,0.01348759048,685.020874,0.01415521186,685.020874,0.01367973071,685.020874,0.01308139507
684.0081787,0.0163314864,684.0081787,0.01468990464,684.0081787,0.01443667244,684.0081787,0.01494805329,684.0081787,0.01414906047,684.0081787,0.01446482539
682.9951782,0.01607374847,682.9951782,0.01475095935,682.9951782,0.01404047012,682.9951782,0.01472316217,682.9951782,0.01409587171,682.9951782,0.01529692393
681.9818726,0.01698820665,681.9818726,0.01493516658,681.9818726,0.01515989937,681.9818726,0.01495976187,681.9818726,0.01520758867,681.9818726,0.0141478572
680.9682007,0.01703884453,680.9682007,0.01574288122,680.9682007,0.01486203168,680.9682007,0.01446166821,680.9682007,0.01564060152,680.9682007,0.01523305755
679.9542236,0.0167911537,679.9542236,0.01622511633,679.9542236,0.01584905386,679.9542236,0.01493698824,679.9542236,0.01556482445,679.9542236,0.01456495654
678.9398804,0.01727436483,678.9398804,0.01657560654,678.9398804,0.01624236815,678.9398804,0.01558135264,678.9398804,0.01552788075,678.9398804,0.01544769853
678.0702515,0.01783346571,678.0702515,0.01630060375,678.0702515,0.01637016423,678.0702515,0.01626607031,678.0702515,0.01556946617,678.0702515,0.0155709153
677.0553589,0.01928038895,677.0553589,0.01745040342,677.0553589,0.01713639125,677.0553589,0.01627743803,677.0553589,0.01665317267,677.0553589,0.01632312685
676.0401001,0.01918371022,676.0401001,0.01719983853,676.0401001,0.0167775657,676.0401001,0.01769809239,676.0401001,0.01683765091,676.0401001,0.01716092415
675.0245972,0.01789375022,675.0245972,0.0167664811,675.0245972,0.01656820998,675.0245972,0.0168143753,675.0245972,0.01617677696,675.0245972,0.01700866595
674.008728,0.01832815446,674.008728,0.0170054622,674.008728,0.01659093611,674.008728,0.01677444577,674.008728,0.01665726118,674.008728,0.01664956845
672.9925537,0.0185491927,672.9925537,0.01767870598,672.9925537,0.01738379523,672.9925537,0.01777203009,672.9925537,0.01763632521,672.9925537,0.01663162746
671.9760742,0.01838140376,671.9760742,0.01743110828,671.9760742,0.01668703742,671.9760742,0.01695447974,671.9760742,0.01735706814,671.9760742,0.01616334356
670.9592896,0.01891286671,670.9592896,0.01729033887,670.9592896,0.01743070409,670.9592896,0.01655729301,670.9592896,0.01711013913,670.9592896,0.01653699018
669.9421387,0.01876072213,669.9421387,0.01777780056,669.9421387,0.01639244892,669.9421387,0.01716461405,669.9421387,0.01793699339,669.9421387,0.01646904275
669.0700684,0.01896497235,669.0700684,0.01780735888,669.0700684,0.01729588769,669.0700684,0.01792744361,669.0700684,0.01809589192,669.0700684,0.0178219229
668.0523682,0.01972065121,668.0523682,0.01769598946,668.0523682,0.01702368632,668.0523682,0.0164789632,668.0523682,0.0170995295,668.0523682,0.01646624506
667.0343018,0.01818582416,667.0343018,0.01666710526,667.0343018,0.01540346909,667.0343018,0.01619507559,667.0343018,0.015916178,667.0343018,0.01533462573
666.0159912,0.01697587781,666.0159912,0.01559195109,666.0159912,0.01590130292,666.0159912,0.01512317732,666.0159912,0.01522195898,666.0159912,0.01486463007
664.9973145,0.01686111651,664.9973145,0.01614085585,664.9973145,0.01492233295,664.9973145,0.01466553845,664.9973145,0.01560767554,664.9973145,0.01465579215
663.9783936,0.01649025641,663.9783936,0.0156430155,663.9783936,0.01511486806,663.9783936,0.01520027034,663.9783936,0.01511025801,663.9783936,0.01463051792
662.9591064,0.01653693616,662.9591064,0.0153311668,662.9591064,0.01479091775,662.9591064,0.01560061797,662.9591064,0.01457376312,662.9591064,0.01405808982
661.9395142,0.01627251878,661.9395142,0.01571510173,661.9395142,0.01464939304,661.9395142,0.01451292075,661.9395142,0.01469598245,661.9395142,0.01460786909
661.0653076,0.01718502678,661.0653076,0.01539544947,661.0653076,0.0152013693,661.0653076,0.01485522743,661.0653076,0.01454712916,661.0653076,0.01445856318
660.045105,0.01665685698,660.045105,0.01524893008,660.045105,0.01479102485,660.045105,0.01458511408,660.045105,0.01478068624,660.045105,0.01372399833
659.0246582,0.01698435843,659.0246582,0.01431653276,659.0246582,0.01495941356,659.0246582,0.01385698933,659.0246582,0.0146840401,659.0246582,0.01392335352
658.0038452,0.0159636829,658.0038452,0.01494727656,658.0038452,0.01532583032,658.0038452,0.01454860065,658.0038452,0.01441539824,658.0038452,0.01375245303
